愛育,あいいく,aiiku
一男,いちなん,ichinan
一任,いちにん,ichinin
一念,いちねん,ichinen
市場,いちば,ichiba
一部,いちぶ,ichibu
一部分,いちぶぶん,ichibubun
一抹,いちまつ,ichimatsu
一味,いちみ,ichimi
一命,いちめい,ichimei
一目,いちもく,ichimoku
一門,いちもん,ichimon
一夜,いちや,ichiya
一翼,いちよく,ichiyoku
一覧,いちらん,ichiran
一理,いちり,ichiri
一礼,いちれい,ichirei
いつ,いつ,itsu
何時頃,いつごろ,itsugoro
逸材,いつざい,itsuzai
逸脱,いつだつ,itsudatsu
逸話,いつわ,itsuwa
移転,いてん,iten
出で立ち,いでたち,idetachi
遺伝,いでん,iden
遺伝子,いでんし,idenshi
意図,いと,ito
威徳,いとく,itoku
糸口,いとぐち,itoguchi
従兄弟,いとこ,itoko
糸偏,いとへん,itohen
いとま,いとま,itoma
暇乞い,いとまごい,itomagoi
糸目,いとめ,itome
井戸,いど,ido
居所,いどころ,idokoro
井戸端,いどばた,idobata
否,いな,ina
以内,いない,inai
田舎,いなか,inaka
稲子,いなご,inago
稲作,いなさく,inasaku
稲束,いなたば,inataba
稲田,いなだ,inada
稲光,いなびかり,inabikari
稲穂,いなほ,inaho
稲叢,いなむら,inamura
稲荷,いなり,inari
以南,いなん,inan
古,いにしえ,inishie
委任,いにん,inin
戌,いぬ,inu
犬橇,いぬぞり,inuzori
稲,いね,ine
稲刈り,いねかり,inekari
稲扱き,いねこき,inekoki
猪,いのしし,inoshishi
命,いのち,inochi
命掛け,いのちがけ,inochigake
命乞い,いのちごい,inochigoi
命取り,いのちとり,inochitori
違背,いはい,ihai
違反,いはん,ihan
茨,いばら,ibara
遺品,いひん,ihin
いびき,いびき,ibiki
畏怖,いふ,ifu
衣服,いふく,ifuku
息吹,いぶき,ibuki
胃袋,いぶくろ,ibukuro
燻し銀,いぶしぎん,ibushigin
異物,いぶつ,ibutsu
異変,いへん,ihen
以北,いほく,ihoku
異母,いぼ,ibo
今,いま,ima
今頃,いまごろ,imagoro
今時,いまどき,imadoki
意味,いみ,imi
意味合い,いみあい,imiai
移民,いみん,imin
医務,いむ,imu
芋,いも,imo
鋳物,いもの,imono
芋虫,いもむし,imomushi
井守,いもり,imori
慰問,いもん,imon
嫌気,いやき,iyaki
意訳,いやく,iyaku
意欲,いよく,iyoku
依頼,いらい,irai
甍,いらか,iraka
入り海,いりうみ,iriumi
入り江,いりえ,irie
入り口,いりぐち,iriguchi
入り日,いりひ,irihi
衣類,いるい,irui
海豚,いるか,iruka
居留守,いるす,irusu
慰霊,いれい,irei
入れ歯,いれば,ireba
入れ物,いれもの,iremono
色,いろ,iro
色合い,いろあい,iroai
色気,いろけ,iroke
色艶,いろつや,irotsuya
いろは,いろは,iroha
色町,いろまち,iromachi
いろり,いろり,irori
色分け,いろわけ,irowake
異論,いろん,iron
岩,いわ,iwa
祝,いわい,iwai
違和感,いわかん,iwakan
曰く,いわく,iwaku
鰯,いわし,iwashi
岩魚,いわな,iwana
岩肌,いわはだ,iwahada
岩場,いわば,iwaba
岩屋,いわや,iwaya
岩山,いわやま,iwayama
謂われ,いわれ,iware
印,いん,in
陰影,いんえい,inei
引火,いんか,inka
印鑑,いんかん,inkan
因果,いんが,inga
印画紙,いんがし,ingashi
陰茎,いんけい,inkei
隠元,いんげん,ingen
鸚哥,いんこ,inko
隠語,いんご,ingo
印刷,いんさつ,insatsu
印紙,いんし,inshi
院政,いんせい,insei
引責,いんせき,inseki
印税,いんぜい,inzei
引率,いんそつ,insotsu
引退,いんたい,intai
隠匿,いんとく,intoku
隠遁,いんとん,inton
因縁,いんねん,innen
韻律,いんりつ,inritsu
陰暦,いんれき,inreki
植木,うえき,ueki
植木鉢,うえきばち,uekibachi
植え込み,うえこみ,uekomi
魚市場,うおいちば,uoichiba
魚河岸,うおがし,uogashi
羽化,うか,uka
迂回,うかい,ukai
含嗽,うがい,ugai
右岸,うがん,ugan
雨季,うき,uki
浮き草,うきくさ,ukikusa
浮き雲,うきぐも,ukigumo
浮き袋,うきぶくろ,ukibukuro
浮き彫り,うきぼり,ukibori
憂き身,うきみ,ukimi
憂き目,うきめ,ukime
浮き世,うきよ,ukiyo
鶯,うぐいす,uguisu
受け売り,うけうり,ukeuri
請負,うけおい,ukeoi
受け皿,うけざら,ukezara
受付,うけつけ,uketsuke
受取,うけとり,uketori
右舷,うげん,ugen
兎,うさぎ,usagi
丑,うし,ushi
牛飼い,うしかい,ushikai
牛蛙,うしがえる,ushigaeru
牛偏,うしへん,ushihen
後ろ,うしろ,ushiro
後ろ足,うしろあし,ushiroashi
後ろ髪,うしろがみ,ushirogami
後ろ盾,うしろだて,ushirodate
後ろ手,うしろで,ushirode
臼,うす,usu
雨水,うすい,usui
薄紙,うすがみ,usugami
薄着,うすぎ,usugi
薄切り,うすぎり,usugiri
薄曇り,うすぐもり,usugumori
薄日,うすび,usubi
薄緑,うすみどり,usumidori
羅,うすもの,usumono
右折,うせつ,usetsu
嘘,うそ,uso
嘘吐き,うそつき,usotsuki
歌,うた,uta
歌合,うたあわせ,utaawase
謡,うたい,utai
歌い手,うたいて,utaite
泡沫,うたかた,utakata
歌声,うたごえ,utagoe
転寝,うたたね,utatane
歌姫,うたひめ,utahime
内,うち,uchi
討ち入り,うちいり,uchiiri
内祝い,うちいわい,uchiiwai
内々,うちうち,uchiuchi
内海,うちうみ,uchiumi
打ち掛け,うちかけ,uchikake
内掛け,うちがけ,uchigake
内側,うちがわ,uchigawa
内高,うちだか,uchidaka
打ち止め,うちどめ,uchidome
内法,うちのり,uchinori
内幕,うちまく,uchimaku
内股,うちまた,uchimata
打ち身,うちみ,uchimi
内輪,うちわ,uchiwa
内訳,うちわけ,uchiwake
鬱,うつ,utsu
現,うつつ,utsutsu
打つ手,うつて,utsute
うつ伏せ,うつぶせ,utsubuse
器,うつわ,utsuwa
雨天,うてん,uten
腕,うで,ude
腕利き,うできき,udekiki
腕比べ,うでくらべ,udekurabe
腕組み,うでぐみ,udegumi
腕試し,うでだめし,udedameshi
腕前,うでまえ,udemae
うど,うど,udo
うどん,うどん,udon
鰻,うなぎ,unagi
海原,うなばら,unabara
雲丹,うに,uni
畝,うね,une
鵜呑み,うのみ,unomi
右派,うは,uha
乳母,うば,uba
産着,うぶぎ,ubugi
産毛,うぶげ,ubuge
産声,うぶごえ,ubugoe
産湯,うぶゆ,ubuyu
右辺,うへん,uhen
午,うま,uma
馬乗り,うまのり,umanori
海,うみ,umi
海亀,うみがめ,umigame
海鳥,うみどり,umidori
海鳴り,うみなり,uminari
海猫,うみねこ,umineko
海開き,うみびらき,umibiraki
海蛇,うみへび,umihebi
海辺,うみべ,umibe
有無,うむ,umu
梅,うめ,ume
呻き声,うめきごえ,umekigoe
埋め草,うめくさ,umekusa
梅干し,うめぼし,umeboshi
埋もれ木,うもれぎ,umoregi
紆余,うよ,uyo
右翼,うよく,uyoku
浦,うら,ura
裏打ち,うらうち,urauchi
裏表,うらおもて,uraomote
